c0_win,d1_win,delta_win,joint_cell,knn_distance,nearest_train_distance,ood_decile,ood_score,outcome,sample_id,train_cell_count
1,1,0,2|linear|topo_fdeb50f24873|int|diagnostic,0.2273,0.2232,4,0.2249,win_to_win,266ec704-de4a-42a9-b0fe-5bded7b4ed40,0
1,1,0,3|fan_in|topo_911586a55488|float|diagnostic,0.118,0.1111,0,0.1139,win_to_win,27468e82-a565-4ac8-861b-13a7170839e9,0
1,1,0,4|fan_in|topo_bd3dd51ec1a9|float|diagnostic,0.1202,0.1171,1,0.1183,win_to_win,2829663a-a30b-420d-a777-ba7c289924c8,0
1,1,0,6+|fan_in|topo_37f1fc553f96|float|diagnostic,0.2118,0.1204,3,0.1569,win_to_win,2866f717-aa3b-44b8-b672-a0593d2207a3,0
0,0,0,4|fan_in|topo_bd3dd51ec1a9|float|diagnostic,0.1202,0.1171,1,0.1183,loss_to_loss,28cc5dca-3281-4afc-949b-f41784c210a4,0
0,0,0,2|linear|topo_fdeb50f24873|float|diagnostic,0.1224,0.1204,1,0.1212,loss_to_loss,2a22dbc6-0db5-454d-9f51-08ae20dc6d47,0
0,1,1,4|fan_in|topo_bd3dd51ec1a9|float|diagnostic,0.1142,0.1111,0,0.1124,loss_to_win,2b2c1931-a5c2-44a9-8283-08a4067256c2,0
1,1,0,5|fan_in|topo_52c12a6fa235|float|diagnostic,0.316,0.2272,8,0.2627,win_to_win,2b51319c-9997-4760-9111-50cec120c41c,0
1,1,0,4|fan_in|topo_30980484d6d7|float|diagnostic,0.1656,0.12,2,0.1382,win_to_win,2b820d2a-4e43-433b-939c-69e6e8719c57,0
1,1,0,2|linear|topo_fdeb50f24873|str|diagnostic,0.3335,0.3335,9,0.3335,win_to_win,2b837d55-e28b-4101-aba9-0f5bb4a2bfdf,0
0,0,0,2|linear|topo_fdeb50f24873|int|diagnostic,0.2377,0.2243,6,0.2297,loss_to_loss,2bb28af9-3cd9-4287-bfe3-c43b74cc6675,0
0,0,0,4|fan_in|topo_5b37b75596d2|float|diagnostic,0.2306,0.2282,6,0.2292,loss_to_loss,2c4dad3c-1c93-456b-a172-846d887fe793,0
0,0,0,3|linear|topo_1c8dbe1830b2|float|diagnostic,0.2347,0.2318,7,0.2329,loss_to_loss,2c787f80-62fe-4cd5-8205-930bb711b22a,0
1,1,0,3|fan_in|topo_911586a55488|float|diagnostic,0.118,0.1111,0,0.1139,win_to_win,2d151251-59a4-4470-a5ce-2b961771cce9,0
1,1,0,5|fan_in|topo_0c51481d8aeb|float|diagnostic,0.2279,0.2247,4,0.226,win_to_win,2d87c2a9-119e-4dca-a137-bad72526368e,0
1,1,0,5|fan_in|topo_6011a58939eb|float|diagnostic,0.2279,0.2247,4,0.226,win_to_win,2de63c8e-4a0e-418c-a608-998e6157ba44,0
1,1,0,3|linear|topo_1c8dbe1830b2|float|diagnostic,0.2347,0.2318,7,0.2329,win_to_win,2e458b03-c3d8-4794-8fc6-25f505ecbdc1,0
0,0,0,6+|fan_in|topo_d03a09e50cd7|float|diagnostic,0.3604,0.3344,9,0.3448,loss_to_loss,2e70b1d4-a123-4c7a-b4a7-3e31ac5cb464,0
0,0,0,5|fan_in|topo_774030263969|float|diagnostic,0.2279,0.2247,4,0.226,loss_to_loss,2e76a708-23a4-4091-bbd5-1ac893b3f389,0
1,1,0,6+|fan_in|topo_86dba62bb2ea|float|diagnostic,0.2797,0.2378,8,0.2545,win_to_win,2effd81d-6cc7-4291-a06f-ad803a993312,0
1,1,0,6+|fan_in|topo_a4f44e275b70|float|diagnostic,0.2942,0.2252,8,0.2528,win_to_win,2fda8d65-cacf-41a7-ac58-3f96be3fdc8b,0
1,1,0,6+|fan_in|topo_9c6659eccfdc|float|diagnostic,0.4472,0.445,9,0.4459,win_to_win,30559c69-6370-4eb4-82e8-724968e008b3,0
1,1,0,2|linear|topo_fdeb50f24873|float|diagnostic,0.1291,0.1164,2,0.1215,win_to_win,309caad0-09b3-4ebf-8ea8-2456d45ec64c,0
1,1,0,4|fan_in|topo_5b37b75596d2|float|diagnostic,0.2306,0.2282,6,0.2292,win_to_win,3129f9c0-c62b-4e2e-a3a5-11e8398b8403,0
0,0,0,3|mixed|topo_5c49d2fff8bb|list|diagnostic,0.4438,0.3711,9,0.4002,loss_to_loss,3171c089-3152-48db-90be-f576f555dfd6,0
1,1,0,4|linear|topo_5296967693d8|float|diagnostic,0.1277,0.1182,2,0.122,win_to_win,320629df-4548-4c22-984d-6ca08f47f331,0
0,0,0,5|fan_in|topo_0c51481d8aeb|float|diagnostic,0.182,0.1135,3,0.1409,loss_to_loss,32881593-1d74-40fd-9d4e-9ea812030a17,0
0,0,0,5|linear|topo_d228dd6db98a|float|diagnostic,0.1138,0.1111,0,0.1122,loss_to_loss,335daef0-edbe-4bb7-ae22-e68e0d60c81d,0
1,1,0,4|linear|topo_5296967693d8|float|diagnostic,0.231,0.2269,5,0.2285,win_to_win,338fc6ec-f0b9-4659-8fad-cffa199b9b14,0
1,0,-1,5|fan_in|topo_774030263969|float|diagnostic,0.182,0.1135,3,0.1409,win_to_loss,35adf4ad-dada-47dd-8c92-1af9100d6a8a,0
1,1,0,4|linear|topo_5296967693d8|float|diagnostic,0.1277,0.1182,2,0.122,win_to_win,35fc7be7-e78c-4c96-9cf6-a78a9b542ffe,0
0,0,0,2|linear|topo_fdeb50f24873|float|diagnostic,0.1189,0.1111,0,0.1142,loss_to_loss,368861a1-8382-4f9e-8574-1f9d7ad05f3e,0
1,1,0,6+|fan_in|topo_ace9c53050f0|float|diagnostic,0.2548,0.2306,7,0.2403,win_to_win,36ac0316-5e89-40e1-b85a-3dfc02daf78e,0
1,1,0,4|fan_in|topo_30980484d6d7|float|diagnostic,0.2306,0.2282,6,0.2292,win_to_win,36ba10c3-3023-4b26-b449-84787b535d77,0
1,1,0,4|fan_in|topo_5b37b75596d2|float|diagnostic,0.2306,0.2282,6,0.2292,win_to_win,370cba6c-f86f-4d80-a269-2c26578acd1a,0
0,0,0,2|linear|topo_fdeb50f24873|float|diagnostic,0.1196,0.1167,0,0.1179,loss_to_loss,383d4437-b8f5-42dc-b2f9-ccb05d1c595d,0
0,1,1,3|linear|topo_1c8dbe1830b2|float|diagnostic,0.1669,0.1207,2,0.1391,loss_to_win,38e7c22f-c209-4f49-8bbd-08bc3cb08203,0
0,0,0,3|linear|topo_1c8dbe1830b2|float|diagnostic,0.2347,0.2318,7,0.2329,loss_to_loss,3a4b7b77-f0a1-4537-8623-432023f545bb,0
0,0,0,4|linear|topo_5296967693d8|float|diagnostic,0.1277,0.1182,2,0.122,loss_to_loss,3b98a2de-9a2c-46d8-8a0a-3bdb46a33559,0
1,1,0,3|linear|topo_1c8dbe1830b2|float|diagnostic,0.1669,0.1207,2,0.1391,win_to_win,3baf684d-f14a-4696-b90f-0191b1df884b,0
1,1,0,2|linear|topo_fdeb50f24873|list|diagnostic,0.2303,0.2261,4,0.2278,win_to_win,3ca6bc7f-564f-40d0-ac57-c818298f26d5,0
0,0,0,4|fan_in|topo_30980484d6d7|float|diagnostic,0.1202,0.1171,1,0.1183,loss_to_loss,3ccc5de6-a0ef-4ef2-90b5-bd9bbf562ec1,0
1,1,0,4|fan_in|topo_bd3dd51ec1a9|float|diagnostic,0.2306,0.2282,6,0.2292,win_to_win,3dc09ed5-bf3e-4aaf-827b-597690c8b7c5,0
1,1,0,4|fan_in|topo_5b37b75596d2|float|diagnostic,0.1202,0.1171,1,0.1183,win_to_win,3df11343-0943-44cd-9caa-7191dea7d6be,0
0,0,0,6+|fan_in|topo_37f1fc553f96|float|diagnostic,0.1947,0.1247,3,0.1527,loss_to_loss,3e23d38f-95ac-4ec8-842e-f7ab9f1be7d0,0
0,0,0,4|fan_in|topo_bd3dd51ec1a9|float|diagnostic,0.1202,0.1171,1,0.1183,loss_to_loss,3e45d5f1-f141-4cec-b2a5-a53cd05ddb0c,0
1,1,0,6+|fan_in|topo_c39b8213eda5|float|diagnostic,0.23,0.2222,4,0.2253,win_to_win,3ef15f18-9bfb-404e-9fca-fe7b88f5e633,0
0,0,0,5|fan_in|topo_774030263969|float|diagnostic,0.2531,0.2247,7,0.236,loss_to_loss,3f2bc63d-be93-4575-8013-1eb180ddfbb5,0
0,0,0,3|fan_in|topo_911586a55488|float|diagnostic,0.2228,0.2222,3,0.2224,loss_to_loss,3f50ec13-757f-4270-80cd-1fd2b0b1b89d,0
0,0,0,2|linear|topo_fdeb50f24873|float|diagnostic,0.1224,0.1204,1,0.1212,loss_to_loss,3f5153aa-ea03-4045-94b3-523fd229373f,0
1,1,0,5|fan_in|topo_0c51481d8aeb|float|diagnostic,0.2531,0.2247,7,0.236,win_to_win,3f62db24-5089-4f1c-a461-837f1498207a,0
0,0,0,2|linear|topo_fdeb50f24873|float|diagnostic,0.1164,0.1111,0,0.1132,loss_to_loss,3fbf0c1d-ef09-4354-a9e0-207deb35c439,0
1,1,0,3|linear|topo_1c8dbe1830b2|float|diagnostic,0.2347,0.2318,7,0.2329,win_to_win,406d0c79-b87a-4a04-885d-81ac834107e9,0
0,0,0,6+|fan_in|topo_596ff8eb2493|float|diagnostic,0.319,0.2388,9,0.2709,loss_to_loss,4181facd-49ba-4f9d-8ced-f01adcdd8782,0
0,0,0,3|fan_in|topo_911586a55488|float|diagnostic,0.118,0.1111,0,0.1139,loss_to_loss,41b60c1c-6d88-4a34-9242-2aacf2837738,0
0,1,1,5|linear|topo_d228dd6db98a|float|diagnostic,0.2248,0.2222,4,0.2233,loss_to_win,42143b4c-1a3d-4f30-a3a6-c5e10facc1fe,0
1,1,0,3|linear|topo_1c8dbe1830b2|float|diagnostic,0.2347,0.2318,7,0.2329,win_to_win,42c97dd0-2684-4c6a-a6cb-91c85788531d,0
1,1,0,3|linear|topo_1c8dbe1830b2|float|diagnostic,0.1669,0.1207,2,0.1391,win_to_win,43928d2f-402c-46bd-9e94-2994f3163b69,0
1,1,0,4|fan_in|topo_bd3dd51ec1a9|float|diagnostic,0.1202,0.1171,1,0.1183,win_to_win,449a8672-1f24-4e89-9e8d-70661d89a8eb,0
1,1,0,5|fan_in|topo_6011a58939eb|float|diagnostic,0.2282,0.2242,4,0.2258,win_to_win,44fa9fda-8603-41e1-94ae-67ba830613cf,0
1,1,0,2|linear|topo_fdeb50f24873|float|diagnostic,0.1266,0.1133,1,0.1186,win_to_win,4511ccb4-e31c-4cc8-b585-04dda07d21cf,0
1,1,0,3|linear|topo_1c8dbe1830b2|float|diagnostic,0.1669,0.1207,2,0.1391,win_to_win,453e02e3-d928-41c4-b059-9b6aee990044,0
0,0,0,2|linear|topo_fdeb50f24873|float|diagnostic,0.1224,0.1204,1,0.1212,loss_to_loss,47342c39-7c8d-4583-8135-cfd39372a0ff,0
1,1,0,4|fan_in|topo_5b37b75596d2|float|diagnostic,0.1202,0.1171,1,0.1183,win_to_win,47c68fdc-38e9-492e-b5f2-118a3d68088b,0
1,1,0,4|linear|topo_5296967693d8|float|diagnostic,0.231,0.2269,5,0.2285,win_to_win,47fbefed-c16e-4a5c-a88a-ac17e2d5c863,0
1,1,0,5|fan_in|topo_0c51481d8aeb|float|diagnostic,0.2531,0.2247,7,0.236,win_to_win,4812e166-3663-4ebe-9671-daa88afb4e1d,0
0,0,0,4|fan_in|topo_30980484d6d7|float|diagnostic,0.2306,0.2282,6,0.2292,loss_to_loss,4a6b0fd5-d75b-47c0-8130-ff584963f6c4,0
1,1,0,5|fan_in|topo_0c51481d8aeb|float|diagnostic,0.2533,0.2247,7,0.2361,win_to_win,4a6ee89a-2122-4e68-81d0-a52608c90f25,0
1,1,0,4|fan_in|topo_30980484d6d7|float|diagnostic,0.2306,0.2282,6,0.2292,win_to_win,4b17cac8-6e1c-479c-9f0c-541a50964d92,0
