accepted_effective_groups,candidate_prompt_count,dead_group_rate_before_filtering,effective_group_rate_after_filtering,global_step,n_cells_touched,refill_rounds,rejected_groups,rollout_utilization,sampler,sampler_entropy,target_reached
16,32,0.0588,0.9412,102,156,1,1,0.9412,dynamic_effective_group,0.998798,True
16,32,0.0,1.0,103,156,1,0,1.0,dynamic_effective_group,0.998811,True
16,32,0.0,1.0,104,156,1,0,1.0,dynamic_effective_group,0.998812,True
16,32,0.0,1.0,105,156,1,0,1.0,dynamic_effective_group,0.998832,True
16,32,0.0588,0.9412,106,156,1,1,0.9412,dynamic_effective_group,0.99884,True
16,32,0.0588,0.9412,107,156,1,1,0.9412,dynamic_effective_group,0.998826,True
16,32,0.0,1.0,108,156,1,0,1.0,dynamic_effective_group,0.998815,True
16,32,0.0588,0.9412,109,156,1,1,0.9412,dynamic_effective_group,0.998837,True
16,32,0.0588,0.9412,110,156,1,1,0.9412,dynamic_effective_group,0.998829,True
16,32,0.0588,0.9412,111,156,1,1,0.9412,dynamic_effective_group,0.998818,True
16,32,0.0,1.0,112,156,1,0,1.0,dynamic_effective_group,0.998813,True
16,32,0.1111,0.8889,113,156,1,2,0.8889,dynamic_effective_group,0.998813,True
16,32,0.0,1.0,114,156,1,0,1.0,dynamic_effective_group,0.998793,True
16,32,0.0,1.0,115,156,1,0,1.0,dynamic_effective_group,0.998793,True
16,32,0.0,1.0,116,156,1,0,1.0,dynamic_effective_group,0.998793,True
16,32,0.0,1.0,117,156,1,0,1.0,dynamic_effective_group,0.998795,True
16,32,0.0,1.0,118,156,1,0,1.0,dynamic_effective_group,0.998796,True
16,32,0.0,1.0,119,156,1,0,1.0,dynamic_effective_group,0.998796,True
16,32,0.0588,0.9412,120,156,1,1,0.9412,dynamic_effective_group,0.998797,True
16,32,0.0588,0.9412,121,156,1,1,0.9412,dynamic_effective_group,0.998782,True
16,32,0.0,1.0,122,156,1,0,1.0,dynamic_effective_group,0.998759,True
16,32,0.0,1.0,123,156,1,0,1.0,dynamic_effective_group,0.998768,True
16,32,0.0,1.0,124,156,1,0,1.0,dynamic_effective_group,0.998793,True
16,32,0.0588,0.9412,125,156,1,1,0.9412,dynamic_effective_group,0.998821,True
16,32,0.0588,0.9412,126,156,1,1,0.9412,dynamic_effective_group,0.998858,True
16,32,0.0,1.0,127,156,1,0,1.0,dynamic_effective_group,0.998864,True
16,32,0.0,1.0,128,156,1,0,1.0,dynamic_effective_group,0.99888,True
16,32,0.0,1.0,129,156,1,0,1.0,dynamic_effective_group,0.99888,True
16,32,0.0,1.0,130,156,1,0,1.0,dynamic_effective_group,0.998881,True
16,32,0.0,1.0,131,156,1,0,1.0,dynamic_effective_group,0.998893,True
16,32,0.0,1.0,132,156,1,0,1.0,dynamic_effective_group,0.998894,True
16,32,0.0,1.0,133,156,1,0,1.0,dynamic_effective_group,0.998894,True
16,32,0.1111,0.8889,134,156,1,2,0.8889,dynamic_effective_group,0.998895,True
16,32,0.0,1.0,135,156,1,0,1.0,dynamic_effective_group,0.99887,True
16,32,0.0,1.0,136,156,1,0,1.0,dynamic_effective_group,0.99887,True
16,32,0.0,1.0,137,156,1,0,1.0,dynamic_effective_group,0.998872,True
16,32,0.0,1.0,138,156,1,0,1.0,dynamic_effective_group,0.998872,True
